ENGLISH ,TARAON/TAWRA
You look fat.,nyu mei darung whishia
You look hot.,nyu pra madung whishia
You may look.,nyu whipina
You may swim.,nyu machei rowpina
You must eat.,nyu thapina
You promised.,nyu jine laya
You scare me.,nyu haa mahrei a
You survived.,nyu lityung ya
You'll do it.,nyu jibiya shabiya
You're a spy.,nyu tabla mei
You're cruel.,nyu khanyum mei
You're dirty.,nyu tyung letara
You're drunk.,nyu yuu yumho
You're dying.,nyu tya shei a
You're fired.,nyu khamyu ho
You're great.,nyu tawe darung mei
You're lying!,nyu lahalue a
You're moody.,nyu khudyow mei
You're quiet.,nyu mishaa ea
You're right.,nyu che la
You're sharp.,nyu panyum pra
You're small.,nyu mei a aa
You're sweet.,nyu mei kashaingya aa
You're tired.,nyu whahoyum
You're upset.,nyu khudyow hoya
You're young.,nyu shabre ela
You've grown.,nyu tajai shaho
You've tried.,nyu jihawre kuya
A car hit Tom.,tom garae tee kuya
Add some salt.,pla ingdu sona
Am I approved?,haa dyung ga ye?
Am I dreaming?,haa yamudi nyu kya?
Am I mistaken?,haa hwadyabo nyu kya?
Am I safe now?,haa jamu shabiyam nyu kya?
Any new jokes?,ruu maraa me ahaa ye?
Any questions?,ja ing ahuya ye?
Anything else?,ja ing du ye?
Are they dead?,chanung sheiku ye?
Are they gone?,chanung boli ye?
Are they here?,chanung a nyu hanaho ye?
Are they tall?,chanung mei kalung ye?
Are you alive?,nyu asung edi ye?
Are you alone?,nyu pa edi ye?
Are you awake?,nyu jhuedi ye?
Are you blind?,nyu balum maa ye?
Are you bored?,nyu whayum ye?
Are you crazy?,nyu tawe haa aa ye?
Are you drunk?,nyu yuu yumho ye?
Are you going?,nyu bodi ye?
Are you happy?,nyu halyoshi ye?
Are you ready?,nyu botyu ya ye?
Are you short?,nyu mei katyuu ye?
Are you there?,nyu achi edi ye?
Are you tired?,nyu whayum ye?
Ask Tom again.,tom bhuedu ahuna
Ask an expert.,kasaya mei we ahuna
Baking is fun.,haya ya pra weshi
Be a good boy.,aa pra shana
Beat the eggs.,tyumaye lya kana
Break it down.,awe hadyuna
Bring it here.,a nyu shijana
Bring the key.,daming shijana
Call me later.,haa abe amena
Call security.,security amena
Can I ask why?,"jasha, ahu hane ye?"
Can I hug you?,haa nyu gwi hane ye?
Can I join in?,haa mu hana hane ye?
Can he see us?,muwa aa cha nin whityung ye?
Can you do it?,nyu jihane ye?
Can you drive?,nyu khehane ye?
Can you stand?,nyu dehane ye?
"Check, please.",ing whi hungna
Clean that up.,achiwe maruna
Come and look.,hanaya whena
Come out here.,anyu hanana
Come sit down.,anyu hanaya dina
Come tomorrow.,bena hanana
Cook the rice.,kekow hayana
Did I do that?,haa ji dyano ye?
Did Tom do it?,tom awe jiya ye?
Did Tom drown?,tom machae row kuye?
Did Tom faint?,tom lyaku ye?
Did Tom laugh?,tom maraa ye?
Did Tom leave?,tom mara ye?
Did Tom reply?,tom maroda ye?
Did Tom smile?,tom mara ye?
Did you do it?,nyu jidyabo ye?
Do I know Tom?,haa tom kasadi ye?
Do I know him?,haa cha kasadi ye?
Do I know you?,haa nyu kasadi ye?
Do I look fat?,haa mei darung whishi ye?
Do cats dream?,majarai nung yamu ye?
Do it at once.,bhue ba gu jina
Do it for Tom.,tom ba ji hungna
Do it quickly.,tagroo jina
Do it with me.,haa du jina
Do me a favor.,haa ing brung na
Do what I say.,haa gade ladi wali jina
Do you follow?,nyu dyue di ye?
Do you get it?,nyu kasadyabo ye?
Do you get me?,nyu haa takaue kasadyabo ye?
Do you see it?,nyu whityung ye?
Do you see me?,nyu haa whityung ye?
Does Tom sing?,tom tashee ye?
Dogs can swim.,kwau machae yo hane
Don't be late.,raa shaya
Don't be long.,raa bali shaya
Don't be rude.,takaue bra laya
Don't come in.,lumku hanaya
Don't get fat.,mei darung shaya
Don't give up!,we maraa ya
Don't go away.,bo ya
Don't go home.,ang boya
"Don't go, Tom.",tom boya
Don't hurt me.,haa prayum jiya
Don't kill me.,haa se ya
Don't look up.,taji whina
Don't mind me.,haa prayum weya
Don't push me!,haa nyung ya
Don't respond.,haa marodaya
Don't rush me.,haa nyung ya
Draw a circle.,tyulyu bana
Drink it down.,lumku bleina
Drop your gun!,geharaue bari jina
Eat and drink.,thalibo tyumna
Eat something.,jakaluge thana
Even Tom lied.,tom mu lahalue
Everyone sang.,mei mi tashega
Exhale slowly.,habe habe shue na
Feed the bird!,pya thahung na
Flying is fun.,yumhaya we tyung pra
Fry me an egg.,tyumayee syhang na
Get back here.,bhuedu a hana nana
Get off of me.,haa du hanaya bona
Get over here.,a nyu hanana
Give it a try.,ji hawre kuna
Give it to me.,haa hung na
Give me a day.,haa kahinge hungna
Give me a few.,haa ing ge hungna
Give me a hug.,haa ing gwina
Give me a bag.,haa phle ing hungna
Give me those.,achiwe mei haa hungna
God bless you!,Jaw malu nyu pra jibia
Hang on a sec.,chuege kalyuna
Hang on to it.,bhuedu jina na
Have him come.,hanapi teingke
Have some tea.,phalum ing tyum na
He came first.,cha hayuu hanaya
He can't read.,muwa aa cha puri haneyum
He can't sing.,muwa aa cha tashe haneyum
He can't swim.,muwa aa cha machae yo haneyum
He drank beer.,muwa aa cha yuu tyum hoya
He eats a lot.,muwa aa cha tyung dhue tha
He has a cold.,muwa aa cha juu lai
He hugged her.,muwa aa cha anyarow gwi ha
He ignored me.,muwa aa cha haa whi halii
He is a thief.,muwa aa cha acow ya mei
He is my type!,muwa aa cha haa dhyue ga
He is reading.,muwa aa cha tako puria
He is running.,muwa aa cha chow a
He kissed her.,muwa aa cha anyarow kashaing
He knows lots.,muwa aa cha tyung dhue kasa
He left early.,muwa aa cha anaya bokuya
He lied to me.,muwa aa cha haa lahalue a
He lied to us.,muwa aa cha ning lahalue a
He liked that.,muwa aa cha achiwe pra we
He looks pale.,muwa aa cha hawrei ayum dhue sha
He loves them.,muwa aa cha mei mi prawe
He made me go.,muwa aa cha haa boshue ya
He needs help.,muwa aa cha babrungya dhue a
He never lies.,muwa aa cha kadigumu lahalue yum
He seems kind.,muwa aa cha tawe tyung pra
He sells cars.,muwa aa cha garei tyue a
He shot at me.,muwa aa cha haa o kuya
He smells bad.,muwa aa cha prayum nung a
He talks fast.,muwa aa cha tagru maro a
He talks well.,muwa aa cha pra lungka maro a
He tricked me.,muwa aa cha haa kaa ba
He tries hard.,muwa aa cha kadeshum ji hawre
He walks fast.,muwa aa cha tagru chei a
He wants more.,muwa aa cha ingdu dhue a
He was crying.,muwa aa cha khroo a
He was stoned.,muwa aa cha phla lya kuya
He went blind.,muwa aa cha balum ma shakuya
He's addicted.,muwa aa cha yuu ya
He's after me.,muwa aa cha haa pling
He's annoying.,muwa aa cha khamyu shia 
He's innocent.,muwa aa cha jamu kasayum
He's not home.,muwa aa cha ang eyum
He's not sick.,muwa aa cha naara yum
He's studying.,muwa aa cha tako puria
He's very ill.,muwa aa cha tyung raa hoya
Help yourself.,nyu gaa habrung tyuna
Here he comes.,muwa aa cha tya hana hoya
Here's rs.10.00.,awe pla halung
"Hey, don't go.","alai, boya"
"Hi, everybody.","mei me, alai"
His nose bled.,muwa aa cha hanya gum hawraija
Hold on a sec.,chuege kalyuna
Hold on there.,chuege rogana
Hold on to it.,chuege rotyu gana
Hold on to me.,chuege haa rona
Hold the rope.,tatyee rona
How about you?,nyu jaa sha?
How beautiful!,kade dhue praha!
How can it be?,kade nyu shabiya?
How did it go?,kade nyu bokuya?
How do I look?,haa kade whii shi?
How do you do?,nyu pra edi ye?
How hot is it?,kadeshue kai a
How late am I?,haa kadege raa hawaya?
How old is he?,muwa aa cha kadege tapau?
How thrilling!,kade dhue pra ha
How was lunch?,hing tapa pra ye?
"Hurry up, Tom.","tom, tagru jina"
I admired Tom.,haa tom tawe pra weshi
I almost died.,haa shei haa kuu
I always walk.,haa chei ladi
I am American.,haa America mei ha
I am Japanese.,haa Japan mei ha
I am Veitnamese.,haa Veitnam mei ha
I am a Muslim.,haa muslim ha
I am a Buddhist,haa buddhist ha
I am busy now.,haa tya kamaaha
I am coughing.,haa do di
I am diabetic.,haa shuning raa
I am divorced.,haa maraa gaya
I am in Paris.,haa paris ke edi
I am not sure.,haa pra kasa yum
I am sneezing.,haa masue raa
I am studying.,haa tako puridi
I am to blame.,haa kya tyu ga
I believe Tom.,haa tom takaue tharungdi
I believe you.,haa nyu takaue tharungdi
I belong here.,awe haa mlaa
I bought them.,haa ang brei dyabo
I burned them.,haa prueku dyabo
I came by bus.,haa daa garei hana dyabo
I came by car.,haa garei a aa ke hanadyabo
I can be good.,haa pra sha hanebiya
I can do more.,haa dhue jihane
I can do that.,haa achiwe jihane
I can do this.,haa awe jihane
I can feel it.,haa awe wekasa
I can see Tom.,haa tom whityung a
I can't do it.,haa ji haneyum
I can't drive.,haa khe haneyum
I can't go on.,haa alili bo haneyum
I can't leave.,haa bo haneyum
I can't sleep.,haa ing haneyum
I can't smoke.,haa duu haneyum
I can't stand.,haa de haneyum
I can't watch.,haa whi haneyum
I caused this.,haa kanum ewe shaya
I contributed.,haa mu hung brung dyabo
I cried a lot.,haa khro ma kuu
I cried today.,haa tahing khro dyabo
I deserved it.,haa chung ya sha
I did nothing.,haa jamu deyum
I didn't call.,haa awe yum
I didn't look.,haa whii yum
I didn't swim.,haa machae yoyum
I dislike Tom.,haa tom kapaue shia
I do like Tom.,haa tom pra weshia
I do like you.,haa nyu pra weshia
I do love you.,haa nyu kashaing shia
I do think so.,haa ali hi weshia
I don't agree.,haa dyung whayum
I don't dream.,haa yamu dyum
I don't drink.,haa tyum dyum
I don't study.,haa puridyum
I dream a lot.,haa tyung dhue yamudi
I enjoy chess.,haa chess tyung pra wedi
I enjoy music.,haa tashe tharung ya tyung pra wedi
I exaggerated.,haa takue ba mathodi
I fed the dog.,haa kwaue proo dyabo
I feel guilty.,haa prayum weshia
I feel it now.,haa tya wei kasadi
I feel my age.,haa kanung gade sha kasatyudi
I feel strong.,haa pre wetyu di
I feel stupid.,haa phow ha a wetyudi
I fell asleep.,haa ing ha ku dyabo
I felt hungry.,haa shityu ya
I felt lonely.,haa pashaya
I found these.,haa awe chungdyabo
I freaked out.,haa hrrueku dyabo
I go to Kyoto.,haa tokyo bodi
I got cheated.,haa kapa ba kuring
I got the flu.,haa zuu lai a
I had no clue.,haa jamu kasa dyum
I had to hide.,haa muya shaya
I had to work.,haa kam jiya shaya
I hate coffee.,haa coffee pra wedyum
I hate my job.,haa kam pra wedyum
I hate myself.,haa gaa khamyushia
I hate winter.,haa zuu tadyow prayum weshi
I have a book.,haa du tako brage a
I have a cold.,haa zuu a
I have a home.,haa ang a
I have a ring.,haa du ting sing a
I have a twin.,haa aa jurwa ea
I have a visa.,haa visa a haa
I have a wife.,haa miya ea
I have an egg.,haa tyumi a
I have cancer.,haa cancer raa
I have doubts.,haa tawei kya
I have failed.,haa haneyum
I have had it.,haa chung liya
I have sinned.,haa ngare kam jiyadyabo
I have to run.,haa chow ya shabiya
I have to try.,haa ji hawreya shabiya
I have to win.,haa haneya shabiya
I hear voices.,haa mei takue tharung tyung
I hope we win.,haa tawegu ning hanebiya
I just did it.,haa jiku dyabo
I just got up.,haa dyuu dyabo
I know Boston.,haa Boston kasadi
I know French.,haa French kasadi
I know people.,haa mei kasadi
I led the way.,haa alyum hayu akedyabo
I like Boston.,haa Boston pra wedi
I like French.,haa French pra wedi
I like apples.,haa apple pra wedi
I like donuts.,haa donuts pra wedi
I like ginger.,haa haging pra wedi
I like it hot.,haa awe lung aa pra weshi
I like my job.,haa gaa kam pra weshi
I like school.,haa school pra weshi
I like spoons.,haa tapla kong pra weshi
I like sports.,haa khiliya pra weshi
I like sweets.,haa show a darei pra weshi
I like to eat.,haa thaya darei pra weshi
I like to run.,haa chowya pra weshi
I like winter.,haa juu tadyowpra weshi
I looked down.,haa bari whidyabo
I lost my key.,haa daming haa dyabo
I love movies.,haa film whiya pra weshi
I love my cat.,haa majarei pra weshi
I love my dad.,haa naba pra weshi
I love my dog.,haa kwaue pra weshi
I love my son.,haa yuwa pra weshi
I love nature.,haa habung whiya pra weshi
I love pandas.,haa panda pra weshi
I love plants.,haa masung pra weshi
I love sports.,haa khili haya pra weshi
I made Tom go.,haa tom boshue dyabo
I made a list.,haa dhue a darae judyabo
I made coffee.,haa coffee badyabo
I made dinner.,haa behing tape haya dyabo
I made him go.,haa cha bo jidyabo
I made supper.,haa abeya tape hayadyabo
I may do that.,haa achiwe dhue hane
I miss my cat.,haa majarae wetyung
I miss my mom.,haa nama wetyung
I must fix it.,haa maneya shabiya
I must go now.,haa tya bonaya sha
I must go out.,haa habung boya sha
I must refuse.,haa dyung yam
I must resist.,haa hana shue yum
I must see it.,haa whiya shabiya
I nearly died.,haa ingduji shabiya
I need a loan.,haa pisha hadaya shabiya
I need coffee.,haa coffee tyumya
I need my key.,haa damying dhue a
I never drink.,haa kadigumu tyum dyum
I play tennis.,haa tennis khelidi
I put it back.,haa solyana dyabo
I quite agree.,haa ingtyo dyung di
I ran outside.,haa habung chow dyabo
I read a book.,haa tako puridi
I rely on Tom.,haa tom dhyungdi
I respect Tom.,haa tom takaue dyungdi
I said I'd go.,haa bonaya ladi
I said get up!,haa dena ladi
I said thanks.,haa khodemu ladi
I saw Tom die.,haa tom shei a whityung dyabo
I saw a mouse!,haa kachei whityung dyabo
I saw a plane.,haa tumgarei whii tyung dyabo
"I saw it, too.",haa mu whii tyung dyabo
I saw nothing.,haa jamu whii tyung yum
I saw someone.,haa sha khinge whii tyung dyabo
I say it's OK.,haa khubiya ladi
I'm not tired.,haa hera dyum
I'm not upset.,haa prayum wedyum
I'm on a diet.,haa tape kati ne ne thadi
I'm on my own.,haa gahi eidi
I'm on my way.,haa tya bodi
I'm over here.,haa anyu edi
I'm ready now.,haa tya botyuya
I'm safe here.,haa ake pra eidi
I'm satisfied.,haa tawe weprage eidi
I'm saying no.,haa sham ladi
I'm screaming.,haa gradi
I'm surprised.,haa hrruedi
I'm too tired.,haa tyung hwayum jia
I'm uninsured.,"haa lakasayum, jashabia"
I'm very busy.,haa tyung kam aha
I'm very cold.,haa juu a
I'm very lazy.,haa tyung herashia
I'm very poor.,haa tyung dyuka mei
I'm very rich.,haa tyung dyaha mei
I'm very tall.,haa tyung mei kalung
I'm very thin.,haa tyung mei a aa
I'm your boss.,haa nyu tayaa jum
I've found it.,haa awe chungdyabo
I've got kids.,haa aa ea
I've got more.,haa ingdu chungdyabo
I've got that.,haa achiwe chungdyabo
I've got wine.,haa yuu chungdyabo
I've returned.,haa halyadyabo
I've seen Tom.,haa tom whityung dyabo
Is Tom around?,tom ga ea ye?
Is Tom coming?,tom hana ye?
Is Tom famous?,tom mei mi kasaga ye?
Is Tom guilty?,tom prayum wetyu ye?
Is Tom hungry?,tom shityuu ye?
Is Tom lonely?,tom cha pa ye?
Is Tom nearby?,tom ga ea ye?
Is Tom stupid?,tom phowha aa ye?
Is he at home?,muwa aa cha ang ea ye?
Is he correct?,muwa aa cha che la ye?
Is he cooking?,muwa aa cha tape hayaa ye?
Is it damaged?,awe mahingkuho ye?
Is it helping?,awe babrunga ye?
Is it my turn?,tya haa jiya sha ye?
Is it popular?,awe mei mi kasaga ye?
Is it snowing?,awrai lya ye?
Is it too big?,awe tyung darung ye?
Is it working?,awe kamjia ye?
Who's calling?,Sha Ame ya?
enjoy yourself,Halyoya maroya ina
Give me a hand,Haa nyu atyoka hangna
How's it going,Pra igadi ye?
I have no idea,Haa kasadyum
I just made it now,Haa tyahi jidyabo
I will see to it,Abe haa whi-ne
I am in a hurry,Haa matyu hadu jidi
Its her field,Awe cha kalyow shaa
Its up to you,Nyu tawe jina
just wonderful,Tyung praha
what about you?,Nyu ja shaya
you owe me one,Nyu haa brage hungya sha
You are welcome,Nyu pra hanana
Any day will do,Ja hing mu shabia
Are you kidding,Nyu ja ruumara jidi
congratulations,"pra jiya, kho jiya"
I cant help it,Haa we-fre yum
I don’t mean it,haa prayum jidyum
it sounds great,tyung pradethi sha
It’s a fine day,Tyung pra hing
"So far, so good","Tyakhre, tyung pra"
what time is it,bajii kadega sha?
you can make it,Nyu hane biya
I love you,Haa nyu ne pra we di
I hate you,Haa nyu ne pra we dyum
I remember you,Haa nyu we-tyung haa
How are you?,Pra eidi ye?
"I am fine , thank you","Haa pra eidi, khodemu"
What are you doing?,Nyu ja dei di?
What do you want?,Nyu ja dae aa?
Where are you going?,Nyu hanu bodi?
When are you coming?,Nyu kadigu hanadi?
What happened to you?,Nyu jasha ya?
Are you going to bed?,Nyu ingdi ye?
Are you going to sing a song?,"Nya tashee, tashee ya ye?"
What is new?,Jadarae mei
count me on,Haa mu chai-na
don’t worry,we ri ya
Feel better,Ing prasha
I am his fan,Haa cha pra wedi
is it yours?,A nyu ba ye?
Are you sure?,jium laadi ye?
do I have to?,Haa diya ye?
he is my age,cha haa kanung kapa
Here you are,Nyu ake eidi ye
no one knows,Sha mu kasa yum
take it easy,habe jina
what a pity,kasha ing the
anything else,Alibo he
to be careful,Begu jina
I see,Haa hwedi
I quit,haa maraadi
lets go,Cho boki
me too,haa-mu
my god,haa khanyum
no way,shum bo
hold on,ro-na
I agree,haa dyung di
not bad,khu pra
not yet,tya yum
I doubt it,ja kaluge aa
I think so,walli nyu kya
I am single,haa kapa
keep it up,che walli jina
let me see,haa whine
never mind,prayum weya
no problem,jamu shayum
that’s all,wallige ne
the answer is zero,hraang kasa yum
what does she like?,cha jadarai pra we?
as soon as possible,tagroo tagroo jina
he can hardly speak,cha maro haneyum
he always talks big,daekapa maroa
he won an election,election hane hoya
I am a football fan,haa football tyung pra wedii
if only I could fly,haa yum hane ji
I will be right there,haa tya hana ne
I will see you at six,haa nyu baji tahro gu tarugane
is it true or false?,"jum nyu kya, amu nyu kya"
just read it for me,haaba puri hangna
knowledge is power,"tawe kanung, pre kanung"
move out of my way,haa alwyum gu halii na
we are good friends,ning tyung pra aa tamru
whats your trouble,nyu ja shaya
you did fairly well,nyu khu pra jiya
clothes make the man,ting du mii pra sha
did you miss the bus?,nyu garae chung yum ye?
don’t lose your head,nyu kuru dung jiya
he cant take a joke,cha roo mara pra weyum
he owes my uncle rs 100,cha haa boao malumge hangya sha
how are you recently?,nyu alyum pra eidi ye?
I know all about it,haa jaladu mei kasadi
it really takes time,jum mu tyung ra time sha
"love me, love my dog","haa ma, haa kuwau kashaing na"
my mouth is watering,haa tharumbrum ke machai hana ha
speak louder please,ingdu mathung marona
this boy has no job,a muwa aa jamu diyum
this house is my own,awe ung haa ba
you need to work out,nyu gahi ingdu kam jidu ho
your hands feel cold,nyu atyo tyung theiha
don’t be so childish,aakalyo duege jiya
fasten your seat belt,diblum we mathung tena
he has a large income,chadu tyung pisha mathung
he looks very healthy,cha tyung dyungho ya
he repaired his house,cha ing maru hoya
he suggested a picnic,cha picnic boke laha
shut up!,misha ena
so long,Tyung raa
why not?,kade nyu
allow me,jisheu na
be quiet,misha ena
cheer up!,halyo na
good job,pra kam jia
have fun,halyoya ena
how much,kadege
I am full,haa thadyu ho
I am home,haa ung khiliya
I am lost,haa ba hama kuya
my treat,haa thahung ne
so do i,we kanum haa
this way,aa nyu
after you,nyu pling
I will be back soon,haa tagroo hanana ne
I will check it out,haa hwena
it’s a long story,hadi atya tyung-yaa
its Sunday today,tahing wei debur
just wait and see,"ing kalyuna, webo whina"
make up your mind,tawe goo we-na
that’s all I need,aligene deaua
the view is great,whihaya tyung-pra
the wall has ears,ang pling mei tharung akow
there comes a bus,tya garai hanaya
what day is today?,tahing ja-hing?
what do you think?,nyuja wedii?
